Algorithm_Name,Input_Dimensions,Execution_Time(ms),Winning
Naive_GPU,16,0.691494,2
naive_matrix_cpu,16,0.065,2
Strassen_Matrix_Multiplication_CPU,16,0.114688,2
Strassen_Matrix_Multiplication_GPU,16,0.469597,2
Tiled_Matrix_Multiplication_GPU,16,0.536563,2
Naive_GPU,32,0.971674,2
naive_matrix_cpu,32,0.2268,2
Strassen_Matrix_Multiplication_CPU,32,0.40407,2
Strassen_Matrix_Multiplication_GPU,32,0.572484,2
Tiled_Matrix_Multiplication_GPU,32,0.660531,2
Naive_GPU,48,1.398835,4
naive_matrix_cpu,48,0.5474,4
Strassen_Matrix_Multiplication_CPU,48,1.336525,4
Strassen_Matrix_Multiplication_GPU,48,0.467005,4
Tiled_Matrix_Multiplication_GPU,48,0.68649,4
Naive_GPU,64,0.881626,4
naive_matrix_cpu,64,1.4254,4
Strassen_Matrix_Multiplication_CPU,64,3.987712,4
Strassen_Matrix_Multiplication_GPU,64,0.532027,4
Tiled_Matrix_Multiplication_GPU,64,0.791789,4
Naive_GPU,80,1.232653,4
naive_matrix_cpu,80,2.5178,4
Strassen_Matrix_Multiplication_CPU,80,9.653555,4
Strassen_Matrix_Multiplication_GPU,80,0.557328,4
Tiled_Matrix_Multiplication_GPU,80,0.851763,4
Naive_GPU,96,0.75129,4
naive_matrix_cpu,96,4.4856,4
Strassen_Matrix_Multiplication_CPU,96,15.053677,4
Strassen_Matrix_Multiplication_GPU,96,0.535761,4
Tiled_Matrix_Multiplication_GPU,96,0.862931,4
Naive_GPU,112,0.848582,4
naive_matrix_cpu,112,6.5334,4
Strassen_Matrix_Multiplication_CPU,112,20.110541,4
Strassen_Matrix_Multiplication_GPU,112,0.54671,4
Tiled_Matrix_Multiplication_GPU,112,0.618125,4
Naive_GPU,128,1.024307,4
naive_matrix_cpu,128,9.2,4
Strassen_Matrix_Multiplication_CPU,128,29.213126,4
Strassen_Matrix_Multiplication_GPU,128,0.621386,4
Tiled_Matrix_Multiplication_GPU,128,0.629325,4
Naive_GPU,144,0.671635,1
naive_matrix_cpu,144,13.575,1
Strassen_Matrix_Multiplication_CPU,144,151.429733,1
Strassen_Matrix_Multiplication_GPU,144,0.709009,1
Tiled_Matrix_Multiplication_GPU,144,0.955898,1
Naive_GPU,160,1.082438,4
naive_matrix_cpu,160,18.3844,4
Strassen_Matrix_Multiplication_CPU,160,138.738892,4
Strassen_Matrix_Multiplication_GPU,160,0.597952,4
Tiled_Matrix_Multiplication_GPU,160,0.821619,4
Naive_GPU,176,1.029498,4
naive_matrix_cpu,176,17.9062,4
Strassen_Matrix_Multiplication_CPU,176,140.453479,4
Strassen_Matrix_Multiplication_GPU,176,0.642734,4
Tiled_Matrix_Multiplication_GPU,176,0.691994,4
Naive_GPU,192,0.823437,4
naive_matrix_cpu,192,23.496,4
Strassen_Matrix_Multiplication_CPU,192,137.291418,4
Strassen_Matrix_Multiplication_GPU,192,0.631664,4
Tiled_Matrix_Multiplication_GPU,192,1.167661,4
Naive_GPU,208,0.891878,4
naive_matrix_cpu,208,28.87,4
Strassen_Matrix_Multiplication_CPU,208,139.259695,4
Strassen_Matrix_Multiplication_GPU,208,0.621382,4
Tiled_Matrix_Multiplication_GPU,208,0.639482,4
Naive_GPU,224,0.950918,4
naive_matrix_cpu,224,35.951601,4
Strassen_Matrix_Multiplication_CPU,224,141.450656,4
Strassen_Matrix_Multiplication_GPU,224,0.921655,4
Tiled_Matrix_Multiplication_GPU,224,1.000717,4
Naive_GPU,240,1.242592,4
naive_matrix_cpu,240,39.547399,4
Strassen_Matrix_Multiplication_CPU,240,140.294553,4
Strassen_Matrix_Multiplication_GPU,240,0.767983,4
Tiled_Matrix_Multiplication_GPU,240,0.901018,4
Naive_GPU,256,1.078291,4
naive_matrix_cpu,256,55.346199,4
Strassen_Matrix_Multiplication_CPU,256,134.726248,4
Strassen_Matrix_Multiplication_GPU,256,1.03262,4
Tiled_Matrix_Multiplication_GPU,256,1.109728,4
Naive_GPU,272,1.203661,4
naive_matrix_cpu,272,56.2002,4
Strassen_Matrix_Multiplication_CPU,272,1141.368018,4
Strassen_Matrix_Multiplication_GPU,272,0.862419,4
Tiled_Matrix_Multiplication_GPU,272,0.874003,4
Naive_GPU,288,1.125907,3
naive_matrix_cpu,288,71.7218,3
Strassen_Matrix_Multiplication_CPU,288,1194.059558,3
Strassen_Matrix_Multiplication_GPU,288,0.884547,3
Tiled_Matrix_Multiplication_GPU,288,0.809229,3
Naive_GPU,304,1.055405,4
naive_matrix_cpu,304,77.0774,4
Strassen_Matrix_Multiplication_CPU,304,1149.222705,4
Strassen_Matrix_Multiplication_GPU,304,0.784435,4
Tiled_Matrix_Multiplication_GPU,304,0.867104,4
Naive_GPU,320,1.015706,3
naive_matrix_cpu,320,96.673001,3
Strassen_Matrix_Multiplication_CPU,320,1038.024695,3
Strassen_Matrix_Multiplication_GPU,320,0.99377,3
Tiled_Matrix_Multiplication_GPU,320,0.887315,3
Naive_GPU,336,0.999846,4
naive_matrix_cpu,336,107.208,4
Strassen_Matrix_Multiplication_CPU,336,964.553101,4
Strassen_Matrix_Multiplication_GPU,336,0.930642,4
Tiled_Matrix_Multiplication_GPU,336,1.171808,4
Naive_GPU,352,1.036173,4
naive_matrix_cpu,352,131.960402,4
Strassen_Matrix_Multiplication_CPU,352,991.356921,4
Strassen_Matrix_Multiplication_GPU,352,0.914073,4
Tiled_Matrix_Multiplication_GPU,352,1.068896,4
Naive_GPU,368,0.993984,3
naive_matrix_cpu,368,136.806201,3
Strassen_Matrix_Multiplication_CPU,368,965.302283,3
Strassen_Matrix_Multiplication_GPU,368,1.025438,3
Tiled_Matrix_Multiplication_GPU,368,0.913946,3
Naive_GPU,384,1.151558,3
naive_matrix_cpu,384,170.640796,3
Strassen_Matrix_Multiplication_CPU,384,961.827625,3
Strassen_Matrix_Multiplication_GPU,384,1.04657,3
Tiled_Matrix_Multiplication_GPU,384,0.760134,3
Naive_GPU,400,1.538515,3
naive_matrix_cpu,400,172.676401,3
Strassen_Matrix_Multiplication_CPU,400,968.438391,3
Strassen_Matrix_Multiplication_GPU,400,1.057242,3
Tiled_Matrix_Multiplication_GPU,400,0.891955,3
Naive_GPU,416,1.374842,3
naive_matrix_cpu,416,207.836002,3
Strassen_Matrix_Multiplication_CPU,416,1003.317859,3
Strassen_Matrix_Multiplication_GPU,416,1.326162,3
Tiled_Matrix_Multiplication_GPU,416,0.823392,3
Naive_GPU,432,1.613427,4
naive_matrix_cpu,432,226.076202,4
Strassen_Matrix_Multiplication_CPU,432,971.578577,4
Strassen_Matrix_Multiplication_GPU,432,1.206179,4
Tiled_Matrix_Multiplication_GPU,432,1.219315,4
Naive_GPU,448,1.265549,3
naive_matrix_cpu,448,269.5078,3
Strassen_Matrix_Multiplication_CPU,448,964.911719,3
Strassen_Matrix_Multiplication_GPU,448,1.309406,3
Tiled_Matrix_Multiplication_GPU,448,1.126682,3
Naive_GPU,464,1.40816,3
naive_matrix_cpu,464,270.158997,3
Strassen_Matrix_Multiplication_CPU,464,969.321265,3
Strassen_Matrix_Multiplication_GPU,464,1.379876,3
Tiled_Matrix_Multiplication_GPU,464,1.107072,3
Naive_GPU,480,1.678253,3
naive_matrix_cpu,480,317.7164,3
Strassen_Matrix_Multiplication_CPU,480,966.902783,3
Strassen_Matrix_Multiplication_GPU,480,1.876109,3
Tiled_Matrix_Multiplication_GPU,480,1.167475,3
Naive_GPU,496,1.659149,3
naive_matrix_cpu,496,343.695197,3
Strassen_Matrix_Multiplication_CPU,496,963.022644,3
Strassen_Matrix_Multiplication_GPU,496,1.579229,3
Tiled_Matrix_Multiplication_GPU,496,1.420192,3
Naive_GPU,512,1.506234,3
naive_matrix_cpu,512,541.977393,3
Strassen_Matrix_Multiplication_CPU,512,964.311865,3
Strassen_Matrix_Multiplication_GPU,512,1.775532,3
Tiled_Matrix_Multiplication_GPU,512,0.942598,3
Naive_GPU,528,2.33993,3
naive_matrix_cpu,528,422.854797,3
Strassen_Matrix_Multiplication_CPU,528,6922.903711,3
Strassen_Matrix_Multiplication_GPU,528,1.824216,3
Tiled_Matrix_Multiplication_GPU,528,1.483181,3
Naive_GPU,544,2.380198,3
naive_matrix_cpu,544,464.227997,3
Strassen_Matrix_Multiplication_CPU,544,7386.502441,3
Strassen_Matrix_Multiplication_GPU,544,2.804135,3
Tiled_Matrix_Multiplication_GPU,544,1.358016,3
Naive_GPU,560,1.932013,3
naive_matrix_cpu,560,510.797797,3
Strassen_Matrix_Multiplication_CPU,560,7175.564355,3
Strassen_Matrix_Multiplication_GPU,560,1.937639,3
Tiled_Matrix_Multiplication_GPU,560,1.474413,3
Naive_GPU,576,2.787859,3
naive_matrix_cpu,576,571.931396,3
Strassen_Matrix_Multiplication_CPU,576,6913.578711,3
Strassen_Matrix_Multiplication_GPU,576,2.082558,3
Tiled_Matrix_Multiplication_GPU,576,1.651386,3
Naive_GPU,592,1.93408,3
naive_matrix_cpu,592,606.999194,3
Strassen_Matrix_Multiplication_CPU,592,6901.624219,3
Strassen_Matrix_Multiplication_GPU,592,2.095818,3
Tiled_Matrix_Multiplication_GPU,592,1.595597,3
Naive_GPU,608,2.529056,3
naive_matrix_cpu,608,649.752612,3
Strassen_Matrix_Multiplication_CPU,608,7017.66123,3
Strassen_Matrix_Multiplication_GPU,608,2.249636,3
Tiled_Matrix_Multiplication_GPU,608,1.547955,3
Naive_GPU,624,1.692813,3
naive_matrix_cpu,624,700.667798,3
Strassen_Matrix_Multiplication_CPU,624,6896.806055,3
Strassen_Matrix_Multiplication_GPU,624,2.455951,3
Tiled_Matrix_Multiplication_GPU,624,1.466394,3
Naive_GPU,640,2.104256,3
naive_matrix_cpu,640,962.524805,3
Strassen_Matrix_Multiplication_CPU,640,6918.920898,3
Strassen_Matrix_Multiplication_GPU,640,2.127043,3
Tiled_Matrix_Multiplication_GPU,640,1.555546,3
Naive_GPU,656,2.36841,3
naive_matrix_cpu,656,821.335193,3
Strassen_Matrix_Multiplication_CPU,656,6864.84707,3
Strassen_Matrix_Multiplication_GPU,656,2.308866,3
Tiled_Matrix_Multiplication_GPU,656,1.492518,3
Naive_GPU,672,2.324608,3
naive_matrix_cpu,672,881.230994,3
Strassen_Matrix_Multiplication_CPU,672,6907.558398,3
Strassen_Matrix_Multiplication_GPU,672,2.252177,3
Tiled_Matrix_Multiplication_GPU,672,1.622822,3
Naive_GPU,688,1.867328,3
naive_matrix_cpu,688,947.705396,3
Strassen_Matrix_Multiplication_CPU,688,8999.774121,3
Strassen_Matrix_Multiplication_GPU,688,2.612954,3
Tiled_Matrix_Multiplication_GPU,688,1.428474,3
Naive_GPU,704,2.63968,3
naive_matrix_cpu,704,1018.181592,3
Strassen_Matrix_Multiplication_CPU,704,7299.471973,3
Strassen_Matrix_Multiplication_GPU,704,2.386371,3
Tiled_Matrix_Multiplication_GPU,704,1.430163,3
Naive_GPU,720,2.367226,3
naive_matrix_cpu,720,1084.667212,3
Strassen_Matrix_Multiplication_CPU,720,6903.70459,3
Strassen_Matrix_Multiplication_GPU,720,2.896131,3
Tiled_Matrix_Multiplication_GPU,720,1.527373,3
Naive_GPU,736,2.402029,3
naive_matrix_cpu,736,1154.357007,3
Strassen_Matrix_Multiplication_CPU,736,6976.55791,3
Strassen_Matrix_Multiplication_GPU,736,2.600728,3
Tiled_Matrix_Multiplication_GPU,736,1.86359,3
Naive_GPU,752,2.744333,3
naive_matrix_cpu,752,1242.725586,3
Strassen_Matrix_Multiplication_CPU,752,6886.583887,3
Strassen_Matrix_Multiplication_GPU,752,2.595172,3
