Algorithm_Name, Input_Dimensions, Execution_Time(ms)
Naive_GPU,16,0.691494
Naive_GPU,32,0.971674
Naive_GPU,48,1.398835
Naive_GPU,64,0.881626
Naive_GPU,80,1.232653
Naive_GPU,96,0.75129
Naive_GPU,112,0.848582
Naive_GPU,128,1.024307
Naive_GPU,144,0.671635
Naive_GPU,160,1.082438
Naive_GPU,176,1.029498
Naive_GPU,192,0.823437
Naive_GPU,208,0.891878
Naive_GPU,224,0.950918
Naive_GPU,240,1.242592
Naive_GPU,256,1.078291
Naive_GPU,272,1.203661
Naive_GPU,288,1.125907
Naive_GPU,304,1.055405
Naive_GPU,320,1.015706
Naive_GPU,336,0.999846
Naive_GPU,352,1.036173
Naive_GPU,368,0.993984
Naive_GPU,384,1.151558
Naive_GPU,400,1.538515
Naive_GPU,416,1.374842
Naive_GPU,432,1.613427
Naive_GPU,448,1.265549
Naive_GPU,464,1.40816
Naive_GPU,480,1.678253
Naive_GPU,496,1.659149
Naive_GPU,512,1.506234
Naive_GPU,528,2.33993
Naive_GPU,544,2.380198
Naive_GPU,560,1.932013
Naive_GPU,576,2.787859
Naive_GPU,592,1.93408
Naive_GPU,608,2.529056
Naive_GPU,624,1.692813
Naive_GPU,640,2.104256
Naive_GPU,656,2.36841
Naive_GPU,672,2.324608
Naive_GPU,688,1.867328
Naive_GPU,704,2.63968
Naive_GPU,720,2.367226
Naive_GPU,736,2.402029
Naive_GPU,752,2.744333
Naive_GPU,768,2.984467
Naive_GPU,784,2.689203
Naive_GPU,800,2.345376
Naive_GPU,816,2.540749
Naive_GPU,832,2.498509
Naive_GPU,848,2.328013
Naive_GPU,864,3.381766
Naive_GPU,880,3.277907
Naive_GPU,896,3.26489
Naive_GPU,912,3.398362
Naive_GPU,928,4.023034
Naive_GPU,944,4.218867
Naive_GPU,960,2.965254
Naive_GPU,976,3.388467
Naive_GPU,992,4.150925
Naive_GPU,1008,3.16103
Naive_GPU,1040,3.720352
Naive_GPU,1072,4.082086
Naive_GPU,1104,3.118656
Naive_GPU,1136,3.50279
Naive_GPU,1168,3.52336
Naive_GPU,1200,4.312192
Naive_GPU,1232,3.767667
Naive_GPU,1264,4.66519
Naive_GPU,1296,3.832109
Naive_GPU,1328,4.033837
Naive_GPU,1360,4.086867
Naive_GPU,1392,4.165178
Naive_GPU,1424,3.992109
Naive_GPU,1456,4.575667
Naive_GPU,1488,4.550445
Naive_GPU,1520,5.960288
Naive_GPU,1552,5.729613
Naive_GPU,1584,7.745062
Naive_GPU,1616,7.037945
Naive_GPU,1648,6.809312
Naive_GPU,1680,7.685741
Naive_GPU,1712,8.064461
Naive_GPU,1744,7.181715
Naive_GPU,1776,10.120595
Naive_GPU,1808,7.760934
Naive_GPU,1840,5.961146
Naive_GPU,1872,6.478477
Naive_GPU,1904,7.389139
Naive_GPU,1936,6.602432
Naive_GPU,1968,7.491104
Naive_GPU,2000,7.982323
Naive_GPU,2032,7.286042
Naive_GPU,2064,6.919763
Naive_GPU,2096,6.981747
Naive_GPU,2128,7.647431
Naive_GPU,2160,7.217606
Naive_GPU,2192,7.626624
Naive_GPU,2224,7.594259
Naive_GPU,2256,7.605536
Naive_GPU,2288,8.196448
Naive_GPU,2320,8.433056
Naive_GPU,2352,8.863974
Naive_GPU,2384,8.923437
Naive_GPU,2416,9.164365
Naive_GPU,2448,9.546906
Naive_GPU,2480,9.704909
Naive_GPU,2512,10.219155
Naive_GPU,2544,10.242406
Naive_GPU,2576,10.456537
Naive_GPU,2608,10.731488
Naive_GPU,2640,10.940806
Naive_GPU,2672,10.730733
Naive_GPU,2704,11.736832
Naive_GPU,2736,11.755737
Naive_GPU,2768,11.448416
Naive_GPU,2800,12.373127
Naive_GPU,2832,12.149939
Naive_GPU,2864,13.005305
Naive_GPU,2896,12.824134
Naive_GPU,2928,13.411629
Naive_GPU,2960,13.854483
Naive_GPU,2992,13.576237
Naive_GPU,3024,13.659053
Naive_GPU,3056,13.955309
Naive_GPU,3088,14.859559
Naive_GPU,3120,15.287033
Naive_GPU,3152,15.651443
Naive_GPU,3184,15.678259
Naive_GPU,3216,15.285005
Naive_GPU,3248,16.801203
Naive_GPU,3280,16.106176
Naive_GPU,3312,16.956659
Naive_GPU,3344,17.126476
Naive_GPU,3376,16.773843
Naive_GPU,3408,17.53095
Naive_GPU,3440,18.01566
Naive_GPU,3472,18.866074
Naive_GPU,3504,18.425351
Naive_GPU,3536,18.908499
Naive_GPU,3568,19.190342
Naive_GPU,3600,19.041216
Naive_GPU,3632,20.075053
Naive_GPU,3664,20.281549
Naive_GPU,3696,20.038778
Naive_GPU,3728,20.373664
Naive_GPU,3760,22.119802
Naive_GPU,3792,21.455648
Naive_GPU,3824,21.574483
Naive_GPU,3856,23.084973
Naive_GPU,3888,22.412788
Naive_GPU,3920,23.680384
Naive_GPU,3952,23.195949
Naive_GPU,3984,23.561831
Naive_GPU,4016,24.329562
Naive_GPU,4080,23.948167
Naive_GPU,4144,26.156685
Naive_GPU,4208,26.443622
Naive_GPU,4272,28.862989
Naive_GPU,4336,27.74999
Naive_GPU,4400,30.922957
Naive_GPU,4464,32.29353
Naive_GPU,4528,30.740416
Naive_GPU,4592,30.830708
Naive_GPU,4656,31.244461
Naive_GPU,4720,32.236435
Naive_GPU,4784,33.382446
Naive_GPU,4848,35.151852
Naive_GPU,4912,36.56478
Naive_GPU,4976,35.570547
Naive_GPU,5040,36.605396
Naive_GPU,5104,39.751737
Naive_GPU,5168,40.10297
