Rows,Cols,CPU_Rows,GPU_Rows,Rate(MB/s),Avg_time,Min_time,Max_time,GPU_Power(W),GPU_Energy(J),CPU_Power(W),CPU_Energy(J),DRAM_Power(W),DRAM_Energy(J),Total_Power_inc_DRAM(W),Total_Energy_inc_DRAM(W),Total_Power_exc_DRAM(W),Total_Energy_exc_DRAM(W),Power_efficiency,t_winner,pe_winner
16,16,0,16,4.048,0.0004,0.0003,0.0005,64.2808,0.5816,82.6345,0.7476,23.3923,0.0054,170.308,1.3346,146.915,1.3292,0.0275533,0,0
16,16,8,8,0.1169,0.0104,0.0088,0.0125,67.5841,1.2704,78.8611,1.4823,23.7222,0.0114,170.167,2.7641,146.445,2.7527,0.000798251,0,0
16,16,16,0,17.6023,0.0003,0.0001,0.0063,0,0,91.7631,0.0383,23.9317,0.0003,115.695,0.0386,91.7631,0.0383,0.191823,1,1
16,32,0,16,3.185,0.0007,0.0006,0.0007,64.9443,0.5872,81.1953,0.7341,23.3513,0.0054,169.491,1.3267,146.14,1.3213,0.0217942,0,0
16,32,8,8,0.3326,0.0076,0.0062,0.0099,67.4236,1.1009,80.6298,1.3165,23.5907,0.0099,171.644,2.4273,148.053,2.4174,0.00224649,0,0
16,32,16,0,38.0086,0.0029,0.0001,0.0166,0,0,95.9786,0.3277,23.2579,0.002,119.237,0.3297,95.9786,0.3277,0.396011,1,1
16,64,0,16,9.3065,0.0007,0.0004,0.0008,64.8281,0.5958,81.2564,0.7468,23.3884,0.0055,169.473,1.3481,146.084,1.3426,0.0637063,0,0
16,64,8,8,0.9757,0.0052,0.0042,0.0069,67.2254,0.9229,81.7757,1.1226,23.6836,0.0083,172.685,2.0538,149.001,2.0455,0.00654827,0,0
16,64,16,0,66.0764,0.0009,0.0001,0.0159,0,0,90.064,0.1367,23.1219,0.0009,113.186,0.1376,90.064,0.1367,0.733661,1,1
16,128,0,16,18.879,0.0007,0.0004,0.0008,64.7867,0.5978,80.967,0.747,23.5024,0.0056,169.256,1.3504,145.754,1.3448,0.129527,0,0
16,128,8,8,1.1075,0.0096,0.0074,0.0123,67.5718,1.2162,79.4243,1.4295,23.5889,0.0109,170.585,2.6566,146.996,2.6457,0.00753421,0,0
16,128,16,0,139.108,0.0022,0.0001,0.0147,0,0,93.7068,0.2626,22.9285,0.0016,116.635,0.2642,93.7068,0.2626,1.48451,1,1
16,256,0,16,36.6504,0.0007,0.0004,0.0009,64.8303,0.6048,80.5319,0.7512,23.4166,0.0056,168.779,1.3616,145.362,1.356,0.252132,0,0
16,256,8,8,2.1767,0.0098,0.0075,0.0116,67.5952,1.2331,79.1484,1.4438,23.7054,0.0111,170.449,2.688,146.744,2.6769,0.0148334,0,0
16,256,16,0,278.216,0.0042,0.0001,0.0136,0,0,100.038,0.4587,22.9569,0.0027,122.995,0.4614,100.038,0.4587,2.78111,1,1
16,512,0,16,46.8755,0.0007,0.0007,0.0009,65.0139,0.6177,80.8287,0.768,23.4124,0.0057,169.255,1.3914,145.843,1.3857,0.321412,0,0
16,512,8,8,4.7517,0.0085,0.0069,0.0116,67.5719,1.145,81.5333,1.3815,23.5286,0.0102,172.634,2.5367,149.105,2.5265,0.0318681,0,0
16,512,16,0,482.242,0.0023,0.0001,0.0166,0,0,92.7345,0.2543,23.2581,0.0016,115.993,0.2559,92.7345,0.2543,5.20024,1,1
16,1024,0,16,93.4959,0.0007,0.0007,0.0008,65.0723,0.5996,80.7393,0.7439,23.3407,0.0055,169.152,1.349,145.812,1.3435,0.64121,0,0
16,1024,8,8,9.8682,0.0083,0.0066,0.0098,67.5708,1.1356,80.4641,1.3522,23.5486,0.0101,171.583,2.4979,148.035,2.4878,0.0666613,0,0
16,1024,16,0,649.83,0.0002,0.0001,0.0007,0,0,86.7266,0.0251,24.7875,0.0002,111.514,0.0253,86.7266,0.0251,7.49285,1,1
16,2048,0,16,185.917,0.0008,0.0007,0.0011,65.0989,0.6206,80.6026,0.7684,23.2968,0.0057,168.998,1.3947,145.702,1.389,1.27601,0,0
16,2048,8,8,18.6389,0.0086,0.007,0.0124,67.5635,1.1659,79.7165,1.3756,23.5717,0.0104,170.852,2.5519,147.28,2.5415,0.126554,0,0
16,2048,16,0,999.556,0.0001,0.0001,0.0002,0,0,87.4938,0.0275,25.2641,0.0002,112.758,0.0277,87.4938,0.0275,11.4243,1,1
16,4096,0,16,275.36,0.001,0.001,0.0013,65.7948,0.636,80.8122,0.7812,23.3508,0.0058,169.958,1.423,146.607,1.4172,1.87822,0,0
16,4096,8,8,36.8803,0.009,0.0071,0.0109,67.6513,1.1967,78.5777,1.3899,23.5537,0.0107,169.783,2.5973,146.229,2.5866,0.252209,0,0
16,4096,16,0,1402.44,0.0004,0.0002,0.0008,0,0,86.827,0.044,23.3687,0.0003,110.196,0.0443,86.827,0.044,16.1521,1,1
16,8192,0,16,436.574,0.0013,0.0012,0.0043,66.4096,0.6702,80.0084,0.8073,23.4395,0.0061,169.858,1.4836,146.418,1.4775,2.9817,0,0
16,8192,8,8,73.4919,0.0089,0.0071,0.0105,67.8003,1.183,79.6577,1.3898,23.644,0.0106,171.102,2.5834,147.458,2.5728,0.498392,0,0
16,8192,16,0,2437.94,0.003,0.0002,0.0138,0,0,96.5034,0.3346,23.3009,0.0021,119.804,0.3367,96.5034,0.3346,25.2628,1,1
16,16384,0,16,602.637,0.0019,0.0017,0.0046,67.2509,0.7086,79.8485,0.8413,23.3149,0.0063,170.414,1.5562,147.099,1.5499,4.0968,0,0
16,16384,8,8,133.663,0.0092,0.0078,0.0108,67.9272,1.2105,79.8186,1.4223,23.7032,0.0108,171.449,2.6436,147.746,2.6328,0.904682,0,0
16,16384,16,0,2289.46,0.002,0.0005,0.0136,0,0,93.6303,0.2246,23.9007,0.0015,117.531,0.2261,93.6303,0.2246,24.4521,1,1
16,32768,0,16,771.587,0.0032,0.0027,0.0064,68.2915,0.8079,79.8011,0.944,23.389,0.0071,171.482,1.759,148.093,1.7519,5.21017,1,1
16,32768,8,8,245.283,0.0109,0.0085,0.0125,68.2103,1.34,80.0502,1.5726,23.9374,0.0121,172.198,2.9247,148.261,2.9126,1.65441,0,0
